time [s],XSens_Hand_Right_QX,XSens_Hand_Right_QY,XSens_Hand_Right_QZ,XSens_Hand_Right_QW,XSens_Foot_Left_QX,XSens_Foot_Left_QY,XSens_Foot_Left_QZ,XSens_Foot_Left_QW,XSens_Foot_Right_QX,XSens_Foot_Right_QY,XSens_Foot_Right_QZ,XSens_Foot_Right_QW,XSens_LowerLeg_Right_QX,XSens_LowerLeg_Right_QY,XSens_LowerLeg_Right_QZ,XSens_LowerLeg_Right_QW,XSens_LowerLeg_Left_QX,XSens_LowerLeg_Left_QY,XSens_LowerLeg_Left_QZ,XSens_LowerLeg_Left_QW,XSens_UpperLeg_Right_QX,XSens_UpperLeg_Right_QY,XSens_UpperLeg_Right_QZ,XSens_UpperLeg_Right_QW,XSens_UpperLeg_Left_QX,XSens_UpperLeg_Left_QY,XSens_UpperLeg_Left_QZ,XSens_UpperLeg_Left_QW,XSens_Pelvis_QX,XSens_Pelvis_QY,XSens_Pelvis_QZ,XSens_Pelvis_QW,XSens_Sternum_QX,XSens_Sternum_QY,XSens_Sternum_QZ,XSens_Sternum_QW
0.0,-0.06755139875613539,-0.12526653387232997,0.03771496364195054,0.9891019591200841,0.05003583257036957,0.09108566091760198,0.0814208700536818,0.9912469216869705,-0.0675513987561353,-0.12526653387233005,0.037714963641950525,0.9891019591200841,-0.013475129888971695,-0.08255403548713053,-0.06316317312574302,0.9944916619358618,0.014757741329092546,0.05913839668753624,-0.024018484340964198,0.9978516781155675,-0.08307720478696326,0.004459088409618804,0.0026743914734377247,0.9965295490880274,0.07756811124721592,0.030240638533628378,0.018491512940647457,0.9963567412567568,0.034438135268272704,0.027680648080935486,0.017589989323687605,0.9988685543336803,0.007556566884223542,0.02146246811999106,-0.07275145971599224,0.9970905103692017
0.01,-0.06756590000634516,-0.12525203647530436,0.03770847694914098,0.9891030519017207,0.050034108850541784,0.09107869010615473,0.08141390619501988,0.9912482212030183,-0.06752946702461379,-0.12521689719008045,0.03771000358458361,0.9891099308828677,-0.013461698762961865,-0.08256823133910386,-0.06319305611981357,0.9944887669039735,0.014720214075948753,0.0591201699142875,-0.024121433385151814,0.9978508291615084,-0.08307135630576193,0.004515920279314971,0.0026599769062941314,0.9965298192971499,0.07763961992720292,0.030292248353972706,0.018494069229028305,0.9963495563859968,0.03444111175167103,0.027647755512802373,0.017599417187715384,0.998869196617388,0.0076002834531549305,0.021550618838906785,-0.07287360263300414,0.9970793572020128
0.02,-0.06756030971894911,-0.1252615709565907,0.03771829641649191,0.989101851938214,0.050031734492076,0.09108727772425379,0.08141995613026402,0.9912470550393807,-0.06757046515290809,-0.125236683505026,0.037676941878101146,0.9891058858354831,-0.013454653609280665,-0.08257689415090531,-0.06322878255376214,0.9944858721497323,0.01476842365018407,0.05909507809396374,-0.02416932627620393,0.9978504442426788,-0.08313840557137088,0.004488976897059101,0.0026038310829896473,0.9965244977767277,0.07775179800563434,0.030242831205090824,0.01847922946110929,0.9963425852316637,0.034526792168439506,0.02762744229597267,0.01760864271419411,0.9988666381236806,0.007623203556046773,0.02160456339455466,-0.07286316900466383,0.9970787773344049
0.03,-0.06757252092804794,-0.1252611857325014,0.03773486855027189,0.9891004344654846,0.050060875777644356,0.09115268221083823,0.08141820461848662,0.991239715305459,-0.06755257666843259,-0.12522225294868228,0.037692029494339654,0.9891083599204435,-0.013501963184501859,-0.08261099512302908,-0.06324340490534558,0.9944814690133376,0.014796600853720775,0.05892965990416368,-0.024226086245086317,0.9978584331116319,-0.08318118844388729,0.004496145492004752,0.002579949225769278,0.9965209573444855,0.07779986263944452,0.030168664810233274,0.01842804506807699,0.9963420297226351,0.03454498001666517,0.02765342567006788,0.01762351146935833,0.9988650280432526,0.0076727375286871555,0.021622093614823805,-0.07278538328035497,0.9970836986668972
0.04,-0.0675903911103512,-0.12524728933915746,0.03772149060055602,0.9891014835140101,0.05009858791735697,0.09116612574590577,0.0814094235814244,0.991237294878128,-0.06759797067115378,-0.12523605557222095,0.03765728455815691,0.9891048345173324,-0.01353522066013193,-0.0826684556155556,-0.06327833373419005,0.9944740201370998,0.014826540317773543,0.05880629163843087,-0.024281692672484298,0.997863915154216,-0.08323174963094727,0.004437039687312813,0.002571161603730901,0.9965170232666334,0.07778024366142085,0.030143521309196293,0.018398115808022676,0.9963448756097291,0.03457696298373067,0.027781994272764055,0.01764862416568183,0.998859910342841,0.007738071157050754,0.02160284399197118,-0.07269297148534264,0.9970903526174838
0.05,-0.06758428962362348,-0.1252420747054232,0.0377150062035215,0.9891028080167501,0.05011901143769956,0.09117297683908826,0.08138356588854326,0.9912377556318526,-0.06757705764111208,-0.12522056541960327,0.037659097565896915,0.9891081556872773,-0.013560076829936318,-0.08274967797465643,-0.06329810688398317,0.9944656679726861,0.01476716209532881,0.05866004985241492,-0.02436930292550113,0.9978712675239665,-0.08327490136660384,0.00435576393063129,0.0025405373442366004,0.9965138552940274,0.07776498047710659,0.030161517747762958,0.01835934463423547,0.9963462375716324,0.034606746163852266,0.027937805790479917,0.017693863756124896,0.9988537326921014,0.007781767455887434,0.02151026569745785,-0.0726371634244123,0.997096081154942
0.06,-0.06759097929679266,-0.12524724731770445,0.037721267249452496,0.9891014571590387,0.05015377679917982,0.0911706167175841,0.08140594444805932,0.9912343766882952,-0.06764414433321222,-0.1252361783662897,0.037638852642417786,0.9891023638316698,-0.01357277537333566,-0.08283947558632351,-0.06333465768142625,0.9944556914159748,0.01479497751154125,0.05864468210012644,-0.0244015053842246,0.9978709718379385,-0.08330319484645389,0.00427271447700442,0.002503539335618322,0.9965119436966959,0.07775639019359991,0.030226193179981042,0.018304280969624394,0.9963459611641391,0.03464782081937956,0.028059508583735335,0.01772655322666626,0.9988483177145615,0.007778591539748664,0.02138022601765318,-0.07266959404547302,0.9970965397344221
0.07,-0.06760522003187772,-0.1252574405122458,0.03773203730601202,0.9890987823172671,0.05013406954895351,0.0911871321397685,0.0814318494474118,0.9912317266402236,-0.06770807924271789,-0.12523528933275566,0.0376267957871747,0.9890985605842286,-0.013575867814871155,-0.08293042673707629,-0.06334562998178334,0.9944473697971606,0.014846427404118834,0.058714088966011005,-0.024457908163239915,0.9978647453831127,-0.0833289132337365,0.004203502112370908,0.002484373908647215,0.9965101357615777,0.07776296427891329,0.030399453485775413,0.01820401820761167,0.996342013735956,0.03467643474908034,0.02807525724902252,0.01772426449140855,0.9988469228323891,0.007786876626299177,0.021336907110151928,-0.0728209858242889,0.9970863578301322
0.08,-0.06761663844344065,-0.12527386507090993,0.037726248460302536,0.9890961425022929,0.05007840357092245,0.09125294810510132,0.08144588481905331,0.991227330537227,-0.0677803017664398,-0.12525181613831535,0.037582774651896154,0.9890931949497827,-0.01357878434554801,-0.08300501907563188,-0.06339634368305871,0.99443787489796,0.014901910810460117,0.058820701833348484,-0.024469999651412392,0.9978573431142798,-0.08330874550113422,0.004183915982491783,0.00244787960045262,0.9965119947374143,0.0777664260544417,0.030600771577216062,0.018135968358452745,0.9963368217672673,0.0346871936512045,0.02807209867332277,0.017714444046192556,0.998846812251415,0.007769074808282997,0.02134002883893193,-0.07315553485932225,0.9970619400845784
0.09,-0.06762920852845919,-0.12527940203233484,0.03772377077209496,0.9890946763070608,0.050096698450051824,0.09130936622213101,0.0814436992904026,0.9912213901497545,-0.06780481279220726,-0.12522300937102154,0.0376050115570606,0.9890943172377811,-0.01356010513692549,-0.08304300597682193,-0.06341947692218536,0.9944334832727252,0.014895965601397483,0.058896689339706085,-0.02452835001901534,0.9978515171301635,-0.0833040971828092,0.004235955364844154,0.0024196051218543166,0.9965122325319237,0.0778110675447688,0.0306742812809533,0.018026256132454958,0.9963330669636975,0.03471304765594882,0.02811620871619457,0.017762929321350762,0.9988438123509541,0.00772387771180557,0.021501593209602182,-0.07356556430316791,0.9970286510182637
